Airline;Source;Destination;Total_Stops;month;day_of_the_month;Duration_hours
3;0;5;4;3;24;2
1;3;0;1;1;5;7
4;2;1;1;9;6;19
3;3;0;0;12;5;5
3;0;5;0;1;3;4
8;3;0;4;6;24;2
4;0;5;0;12;3;15
4;0;5;0;1;3;21
4;0;5;0;12;3;25
6;2;1;0;5;27;7
1;2;1;0;1;6;13
3;3;0;4;4;18;2
1;1;4;4;6;24;2
4;3;0;0;9;5;12
3;3;0;4;4;24;2
1;2;1;1;3;3;26
8;2;1;0;4;15;4
4;2;1;0;12;6;22
1;2;1;1;12;6;23
4;2;1;0;5;27;20
2;2;1;0;6;3;5
1;0;5;0;3;21;15
3;0;2;4;3;4;2
3;0;2;4;1;5;2
4;3;0;0;6;5;13
4;2;1;1;9;6;15
3;2;1;0;1;6;5
2;2;1;0;5;15;5
10;0;2;4;6;18;2
10;1;4;4;6;15;2
10;1;4;4;6;18;2
1;3;0;1;1;5;13
3;0;2;4;6;4;2
4;2;1;1;6;15;22
4;2;1;0;5;18;5
3;2;1;0;6;27;10
8;3;0;0;5;21;5
1;3;0;4;5;18;2
4;0;5;0;6;3;6
4;2;1;0;3;6;11
6;2;1;0;5;21;11
1;0;5;0;3;15;8
4;2;1;0;5;18;22
0;0;2;4;6;5;2
6;2;1;0;3;21;12
8;0;5;4;3;24;2
3;0;2;4;5;27;2
1;1;4;4;3;5;2
1;3;0;0;5;15;16
4;2;1;1;6;27;19
4;2;1;4;9;3;3
4;3;0;0;1;5;25
3;0;5;4;3;24;2
3;0;2;4;6;18;3
0;0;2;4;3;4;2
4;3;0;0;3;24;16
1;0;5;1;1;3;15
10;1;4;4;6;3;2
6;2;1;0;6;5;6
10;4;3;0;6;3;25
1;3;0;0;6;6;12
1;2;1;0;3;4;27
6;2;1;0;3;6;10
3;2;1;0;5;15;10
10;1;4;4;5;24;2
3;2;1;0;6;24;10
10;0;2;4;4;24;2
1;4;3;4;6;5;1
1;2;1;1;5;21;13
3;1;4;4;12;3;2
4;4;3;4;1;6;1
4;0;5;0;9;3;26
6;2;1;0;6;24;7
